Fixed Ticket;Data
4-2009;1
2-2011;1
4-2011;1
5-2011;3
6-2011;5
8-2011;17
9-2011;5
10-2011;12
11-2011;13
12-2011;9
1-2012;5
2-2012;12
3-2012;12
4-2012;12
5-2012;11
6-2012;16
7-2012;12
8-2012;11
9-2012;8
10-2012;12
11-2012;21
12-2012;16
1-2013;14
2-2013;8
3-2013;7
4-2013;9
5-2013;1
6-2013;13
7-2013;9
8-2013;6
9-2013;6
10-2013;5
11-2013;3
12-2013;3
1-2014;2
2-2014;8
3-2014;2
4-2014;6
5-2014;4
6-2014;5
7-2014;1
8-2014;4
9-2014;4
10-2014;3
11-2014;9
12-2014;10
1-2015;2
2-2015;2
3-2015;2
4-2015;2
5-2015;2
6-2015;1
8-2015;1
9-2015;1
11-2015;1
1-2016;1
2-2016;7
3-2016;6
4-2016;10
5-2016;1
6-2016;1
7-2016;3
10-2016;6
11-2016;1
12-2016;5
2-2017;1
3-2017;2
4-2017;4
5-2017;10
6-2017;1
7-2017;4
8-2017;1
null;0
