RELEASE ; FILENAME ; NR ; NAUTH ; ChgSize ; LOCAdded ; Churn ; BUGGYNESS 
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;25;4;2071;702;3;YES
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;48;5;2059;2527;636;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;326;5;5298;12068;4109;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;34;4;1857;695;454;YES
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;26;4;1287;318;121;YES
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;169;4;3337;4441;695;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;78;4;2462;2101;1443;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;95;3;2861;1383;-2905;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;63;2;2604;699;-410;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;27;2;1723;253;139;null
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;0;0;0;0;0;null
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;36;2;1496;1097;113;YES
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java;49;2;1868;559;492;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;151;3;3851;6269;1805;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;137;4;2772;3890;632;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;64;4;2360;924;578;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;13;1;1215;75;30;null
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java;51;3;2353;244;36;YES
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;30;2;1502;303;149;YES
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;84;3;3286;562;-161;YES
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;37;3;2454;160;8;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java;20;2;1930;351;-3;null
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;207;4;4317;9683;2858;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;129;5;3352;2670;1663;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java;79;3;3079;992;321;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java;87;3;2899;675;-67;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java;31;3;1557;229;108;YES
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java;65;3;2548;690;316;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java;108;3;2825;2592;1020;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java;80;3;2732;581;153;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java;19;2;158;243;202;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java;23;2;1383;337;113;YES
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java;7;1;1197;7;0;null
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java;46;3;804;1020;973;NO
